company,domain,vertical,contact_name,contact_title,contact_email,linkedin,stage_read,signals,score,status,play,observation,added,last_touch,next_touch,touch_num,notes
Adaptive,adaptive.build,construction,,,,,"~$26M raised, construction finance",3:series-a-window,50,new,,,2026-08-17,2026-08-17,2026-08-17,0,"Contractor CFO buyer, long relationship cycles. Verify sales leadership + AE postings."
Acelab,,construction,,,,,"$16.6M Series A, Sep 2025",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,Building materials selection for architects/specifiers. Series A window opens ~mid-2026.
Moab,,construction,,,,,"$16M seed+A, construction rental OS",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,Equipment rental operating system. Verify sales leadership.
Dili,,construction,,,,,"$15M Series A, Brick & Mortar backed",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,Construction diligence/underwriting. Warm path via Brick & Mortar possible.
Cascade,,construction,,,,,"$3.5M seed, pursuit intelligence",3:early,42,new,,,2026-08-17,,2026-08-17,0,Bond filings/permits signal platform. Early — may not carry $12K/mo yet.
OnSiteIQ,,construction,,,,,"$46M raised, jobsite reality capture",6:possible-expansion,42,new,,,2026-08-17,,2026-08-17,0,Likely past founder-led ceiling. Verify before spending a touch.
Trunk Tools,,construction,,,,,"$30M+, AI over construction docs",6:possible-expansion,42,new,,,2026-08-17,,2026-08-17,0,Founder Sarah Buchner. Likely Series B — verify stage.
Claim Health,,health,,,,,"seed/Series A, patient access + claims",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,"Provider-side buyer, committee sale. Strong ICP shape."
Ready Health,,health,,,,,"seed/Series A, care coordination",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,Verify stage and sales leadership.
Oasys Health,,health,,,,,"seed/Series A, AI clinical ops",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,Clinical ops AI. Health system buyer.
Understood Care,,health,,,,,"seed/Series A, care navigation",3:series-a-window,50,new,,,2026-08-17,,2026-08-17,0,Care navigation. Verify revenue scale.
Crosby Health,,health,,,,,"$2.2M pre-seed, clinical appeals AI",3:early,42,new,,,2026-08-17,,2026-08-17,0,Early — likely cannot carry $12K/mo. Re-score in 90 days.
Proxima,,health,,,,,"seed, clinical research infrastructure",3:early,42,new,,,2026-08-17,,2026-08-17,0,Clinical trials infra. Verify stage.
